epoch total_loss interior_loss down_yy_loss up_yy_loss down_loss up_loss left_loss right_loss
175 3.08502972e-01 5.12637533e-02 1.60001203e-01 1.76276155e-02 2.59232130e-02 8.56312271e-03 2.23403331e-03 4.28900011e-02
176 3.07773829e-01 5.34251370e-02 1.57306805e-01 1.66564006e-02 2.81251762e-02 8.65277275e-03 2.22658715e-03 4.13809456e-02
177 3.22601527e-01 5.20487987e-02 1.72270969e-01 1.72710884e-02 2.73716748e-02 8.88293702e-03 2.27976032e-03 4.24762964e-02
178 3.05018723e-01 5.10613956e-02 1.56888068e-01 1.80737898e-02 2.59590000e-02 8.69397074e-03 2.31992011e-03 4.20225598e-02
179 3.00509661e-01 4.98432852e-02 1.57822460e-01 1.80838667e-02 2.49119923e-02 8.55942536e-03 2.34565604e-03 3.89429517e-02
180 3.18373114e-01 5.29440939e-02 1.67745158e-01 1.79538373e-02 2.70123705e-02 8.83972459e-03 2.33985507e-03 4.15380560e-02
181 3.03609431e-01 4.75137457e-02 1.60349965e-01 1.75358206e-02 2.47953124e-02 9.15043149e-03 2.40696641e-03 4.18571942e-02
182 3.08911026e-01 4.84466478e-02 1.64075151e-01 1.78707149e-02 2.63772476e-02 8.56973603e-03 2.37088744e-03 4.12006527e-02
183 3.12491179e-01 4.96888869e-02 1.65904894e-01 1.84134338e-02 2.65220422e-02 8.68733041e-03 2.46139127e-03 4.08131890e-02
184 3.09330165e-01 4.63734902e-02 1.68464452e-01 1.86229665e-02 2.59966291e-02 8.95366818e-03 2.43780669e-03 3.84811871e-02
185 2.92668730e-01 4.66012657e-02 1.53679207e-01 1.80544443e-02 2.37395372e-02 9.09889583e-03 2.33207713e-03 3.91632803e-02
186 2.87668735e-01 4.49959673e-02 1.49443179e-01 1.76490694e-02 2.34419927e-02 8.57837871e-03 2.44678976e-03 4.11133692e-02
